Famille de métiers,Métier,Tâche,Impact potentiel,Exemple,Risques
Administration et pilotage,Assistant de direction,Répondre au téléphone,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les fraudes, les atteintes à la vie privée et les manipulations psychologiques."
Administration et pilotage,Assistant de direction,Traiter le courrier électronique,faible,rédiger des réponses automatiques à des courriers électroniques courants.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour rédiger des réponses automatiques à des courriers électroniques courants incluent la perte de confidentialité, la diffusion de fausses informations, les attaques de phishing et les utilisations malveillantes pour usurper des identités ou diffuser des contenus nuisibles."
Administration et pilotage,Assistant de direction,Organiser des déplacements,faible,planifier des itinéraires de déplacement en fonction des préférences et des contraintes de l'utilisateur.,"Les risques et détournements possibles associés à la planification d'itinéraires de déplacement par des chatbots IA incluent la collecte non autorisée de données personnelles, la manipulation de l'utilisateur en fonction de ses préférences et la possibilité de détournement pour des activités malveillantes telles que le vol d'identité ou la fraude."
Administration et pilotage,Assistant de direction,Faire des réservations d'hôtel,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, les escroqueries, les atteintes à la vie privée et les utilisations malveillantes pour manipuler les opinions ou voler des données personnelles."
Administration et pilotage,Assistant de direction,Préparer des présentations,moyen,générer des contenus de présentation.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des contenus de présentation incluent la diffusion de fausses informations, la perte de confidentialité, la création de contenus biaisés ou discriminatoires, ainsi que le détournement à des fins de spam ou de phishing."
Administration et pilotage,Chargé de mission,Rédiger un compte-rendu de réunion,fort,"retranscrire, résumer et rédiger un compte-rendu de réunion.","Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, la collecte non autorisée de données personnelles, la manipulation de l'opinion publique et les attaques de phishing."
Administration et pilotage,Chef de service,Planifier les réunions de service,faible,,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, les attaques de phishing, la collecte non autorisée de données personnelles et les utilisations malveillantes pour des activités illégales."
Administration et pilotage,Chef de service,Mettre à jour les procédures internes dans le manuel de l'université,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les fraudes, les atteintes à la vie privée et les utilisations malveillantes pour manipuler les opinions ou voler des informations sensibles."
Administration et pilotage,Chef de service,Superviser la saisie des dossiers de personnel,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et les utilisations malveillantes pour la manipulation de l'opinion publique."
Administration et pilotage,Directeur administratif,Élaborer des budgets,moyen,générer des modèles de budgets pour faciliter l'élaboration de plans financiers détaillés.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des modèles de budgets incluent la manipulation financière, les erreurs de calcul, la fuite de données sensibles et la création de plans financiers non éthiques ou non conformes aux réglementations."
