Famille de métiers;Métier;Tâche;Impact potentiel;Exemple
Administration et pilotage;Assistant de direction;Répondre au téléphone;faible;
Administration et pilotage;Assistant de direction;Traiter le courrier électronique;faible;rédiger des réponses automatiques à des courriers électroniques courants.
Administration et pilotage;Assistant de direction;Organiser des déplacements;faible;planifier des itinéraires de déplacement en fonction des préférences et des contraintes de l'utilisateur.
Administration et pilotage;Assistant de direction;Faire des réservations d'hôtel;faible;
Administration et pilotage;Assistant de direction;Préparer des présentations;moyen;générer des contenus de présentation.
Administration et pilotage;Chargé de mission;Rédiger un compte-rendu de réunion;fort;retranscrire, résumer et rédiger un compte-rendu de réunion.
Administration et pilotage;Chef de service;Planifier les réunions de service;faible;
Administration et pilotage;Chef de service;Mettre à jour les procédures internes dans le manuel de l'université;faible;
Administration et pilotage;Chef de service;Superviser la saisie des dossiers de personnel;faible;
Administration et pilotage;Directeur administratif;Élaborer des budgets;moyen;générer des modèles de budgets pour faciliter l'élaboration de plans financiers détaillés.
Administration et pilotage;Directeur administratif;Analyser des données financières;moyen;
Administration et pilotage;Directeur administratif;Préparer des rapports de gestion;moyen;rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.
Administration et pilotage;Directeur administratif;Négocier des contrats;faible;rédiger les premières versions de contrats en fonction de modèles et de clauses standardisées.
Administration et pilotage;Directeur administratif;Superviser des équipes administratives;faible;automatiser la rédaction de rapports administratifs pour les équipes.
Administration et pilotage;Directeur des études;Élaborer le calendrier académique annuel;moyen;générer les dates clés et les périodes de vacances pour élaborer le calendrier académique annuel.
Administration et pilotage;Directeur des études;Analyser les résultats des examens pour ajuster les programmes;fort;analyser les résultats des examens pour identifier les domaines où les étudiants ont des difficultés et rédiger des recommandations pour ajuster les programmes d'études en conséquence.
Administration et pilotage;Directeur des études;Organiser les réunions de coordination avec les départements;faible;structurer les agendas et les ordres du jour pour les réunions de coordination avec les départements.
Administration et pilotage;Responsable administratif;Gérer les demandes de congés des personnels;faible;automatiser la rédaction des réponses aux demandes de congés des personnels.
Administration et pilotage;Secrétaire général;Rédiger des procès-verbaux;faible;
Administration et pilotage;Secrétaire général;Gérer le calendrier des réunions;faible;
Administration et pilotage;Secrétaire général;Préparer des dossiers de réunion;moyen;Rédiger les comptes rendus de réunion et les notes de décision à partir de données et de points de discussion fournis.
Administration et pilotage;Secrétaire général;Envoyer des rappels de réunion;faible;
Administration et pilotage;Secrétaire général;Classer des documents administratifs;moyen;classer des documents administratifs en les catégorisant.
Communication;Attaché de presse;Rédiger des articles de presse;fort;
Communication;Attaché de presse;Organiser des interviews;moyen;générer et structurer les questions pour les interviews.
Communication;Attaché de presse;Créer des dossiers de presse;moyen;rédiger des contenus de base pour les dossiers de presse.
Communication;Chargé de communication;Rédiger un communiqué de presse;Moyen;Rédiger un brouillon de communiqué de presse en générant automatiquement du contenu basé sur des informations fournies.
Communication;Chargé de communication;Concevoir les visuels pour les réseaux sociaux;moyen;Générer des idées de contenu et des légendes pour les visuels des réseaux sociaux.
Communication;Chargé de communication;Organiser les événements promotionnels sur campus;faible;générer des invitations personnalisées et des programmes détaillés pour les événements promotionnels sur campus.
Communication;Graphiste;Concevoir une affiche pour un événement;moyen;générer des textes, des images de présentation pour l'affiche de l'événement, pour s'inspirer notamment
Communication;Responsable de communication;Gérer les réseaux sociaux;fort;rédiger des publications pour les réseaux sociaux.
Communication;Responsable de communication;Créer des contenus de blog/hebdomadaires;fort;rédiger des contenus de blog/hebdomadaires
Communication;Responsable de communication;Analyser des données de trafic web;moyen;analyser des données de trafic web pour résumer les tendances et les statistiques clés.
Communication;Responsable relations presse;Suivre les mentions de l'université dans les médias;faible;analyser et résumer les articles de presse en ligne pour détecter les mentions de l'université.
Communication;Webmaster;Mettre à jour des sites web;moyen;rédiger du contenu pour mettre à jour des sites web.
Communication;Webmaster;Superviser des équipes de développement web;faible;Rédiger des rapports de suivi et d'avancement pour les équipes de développement web.
Enseignement;Assistant pédagogique;Préparer des supports de cours;Faible;Rédiger des contenus pédagogiques pour les supports de cours.
Enseignement;Enseignant-chercheur;Préparer des cours;fort;rédiger des plans de cours et des notes de lecture pour préparer des cours.
Enseignement;Enseignant-chercheur;Donner des cours;faible;Rédiger des plans de cours et des supports de formation personnalisés pour les étudiants.
Enseignement;Enseignant-chercheur;Mener des recherches;fort;résumer des articles de recherche
Enseignement;Enseignant-chercheur;Rédiger des articles de recherche;fort;Rédiger des brouillons d'articles de recherche en générant du contenu basé sur des données et des informations fournies.
Enseignement;Enseignant-chercheur;Participer à des conférences internationales;moyen;Rédiger des résumés de conférences ou des articles de recherche pour préparer les interventions orales lors de conférences internationales (préparer des réponses à des questions par exemple)
Enseignement;Maître de conférences;Rédiger les propositions de projets de recherche;fort;Rédiger les propositions de projets de recherche.
Enseignement;Maître de conférences;Animer les séminaires de recherche;moyen;Proposer des activités d'animations, préparer des questions en avance
Enseignement;Maître de conférences;Préparer des séminaires;fort;Rédiger des contenus de présentation pour les séminaires.
Enseignement;Maître de conférences;Encadrer des travaux de recherche;faible;
Enseignement;Maître de conférences;Participer à des comités de recherche;faible;retranscription et résumer des réunions
Enseignement;Professeur;Concevoir les supports de cours (diapositives, fiches);fort;Rédiger les contenus des diapositives et des fiches de cours en fonction des objectifs pédagogiques définis.
Enseignement;Professeur;Préparer des cours;fort;rédiger des plans de cours et des contenus pédagogiques pour préparer des cours.
Enseignement;Professeur;Participer à des jurys d'examen;faible;
Finances et Comptabilité;Comptable;Saisir les factures dans le logiciel comptable;Fort;extraire les informations des factures pour les saisir automatiquement dans le logiciel comptable.
