Famille de métier;Métier type;Tâche typique;Niveau d'impact potentiel
Administration et pilotage;Secrétaire général;Rédiger des procès-verbaux;faible
Administration et pilotage;Secrétaire général;Gérer le calendrier des réunions;faible
Administration et pilotage;Secrétaire général;Préparer des dossiers de réunion;faible
Administration et pilotage;Secrétaire général;Envoyer des rappels de réunion;faible
Administration et pilotage;Secrétaire général;Classer des documents administratifs;faible
Administration et pilotage;Directeur administratif;Élaborer des budgets;moyen
Administration et pilotage;Directeur administratif;Analyser des données financières;moyen
Administration et pilotage;Directeur administratif;Préparer des rapports de gestion;moyen
Administration et pilotage;Directeur administratif;Négocier des contrats;faible
Administration et pilotage;Directeur administratif;Superviser des équipes administratives;faible
Administration et pilotage;Assistant de direction;Répondre au téléphone;faible
Administration et pilotage;Assistant de direction;Traiter le courrier électronique;faible
Administration et pilotage;Assistant de direction;Organiser des déplacements;faible
Administration et pilotage;Assistant de direction;Faire des réservations d'hôtel;faible
Administration et pilotage;Assistant de direction;Préparer des présentations;moyen
Communication;Responsable de communication;Rédiger des communiqués de presse;fort
Communication;Responsable de communication;Gérer les réseaux sociaux;fort
Communication;Responsable de communication;Créer des contenus de blog;fort
Communication;Responsable de communication;Organiser des événements de presse;faible
Communication;Responsable de communication;Analyser des données de trafic web;moyen
Communication;Attaché de presse;Rédiger des articles de presse;fort
Communication;Attaché de presse;Organiser des interviews;faible
Communication;Attaché de presse;Gérer les relations avec les médias;faible
Communication;Attaché de presse;Créer des dossiers de presse;moyen
Communication;Attaché de presse;Envoyer des communiqués de presse;faible
Communication;Webmaster;Mettre à jour des sites web;moyen
Communication;Webmaster;Créer des contenus web;fort
Communication;Webmaster;Gérer des bases de données web;moyen
Communication;Webmaster;Optimiser des sites web pour les moteurs de recherche;moyen
Communication;Webmaster;Superviser des équipes de développement web;faible
Enseignement;Professeur des universités;Préparer des cours;fort
Enseignement;Professeur des universités;Donner des cours;faible
Enseignement;Professeur des universités;Corriger des examens;moyen
Enseignement;Professeur des universités;Encadrer des étudiants;faible
Enseignement;Professeur des universités;Participer à des jurys d'examen;faible
Enseignement;Maître de conférences;Préparer des séminaires;fort
Enseignement;Maître de conférences;Donner des séminaires;faible
Enseignement;Maître de conférences;Encadrer des travaux de recherche;faible
Enseignement;Maître de conférences;Participer à des comités de recherche;faible
Enseignement;Maître de conférences;Rédiger des articles de recherche;fort
Enseignement;Enseignant-chercheur;Préparer des cours;fort
Enseignement;Enseignant-chercheur;Donner des cours;faible
Enseignement;Enseignant-chercheur;Mener des recherches;fort
Enseignement;Enseignant-chercheur;Rédiger des articles de recherche;fort
Enseignement;Enseignant-chercheur;Participer à des conférences internationales;faible
Finances et Comptabilité;Directeur financier;Élaborer des budgets;moyen
Finances et Comptabilité;Directeur financier;Analyser des données financières;moyen
Finances et Comptabilité;Directeur financier;Préparer des rapports de gestion;moyen
Finances et Comptabilité;Directeur financier;Négocier des contrats;faible
Finances et Comptabilité;Directeur financier;Superviser des équipes financières;faible
Finances et Comptabilité;Comptable;Gérer des comptes;moyen
Finances et Comptabilité;Comptable;Préparer des déclarations fiscales;moyen
Finances et Comptabilité;Comptable;Analyser des données comptables;moyen
Finances et Comptabilité;Comptable;Faire des prévisions financières;moyen
Finances et Comptabilité;Comptable;Classer des documents comptables;faible
Finances et Comptabilité;Trésorier;Gérer des flux de trésorerie;moyen
Finances et Comptabilité;Trésorier;Préparer des rapports de trésorerie;moyen
Finances et Comptabilité;Trésorier;Négocier des contrats de crédit;faible
Finances et Comptabilité;Trésorier;Superviser des équipes de trésorerie;faible
Finances et Comptabilité;Trésorier;Faire des prévisions de trésorerie;moyen
