Famille de métiers,Métier,Tâche,Impact potentiel,Exemple
Administration et pilotage,Assistant de direction,Répondre au téléphone,faible,Un chatbot IA de type ChatGPT peut répondre automatiquement aux appels téléphoniques en utilisant la synthèse vocale pour fournir des réponses préenregistrées ou générées à l'instant.
Administration et pilotage,Assistant de direction,Traiter le courrier électronique,faible,Un chatbot IA de type ChatGPT peut rédiger des réponses automatiques à des courriers électroniques courants.
Administration et pilotage,Assistant de direction,Organiser des déplacements,faible,Un chatbot IA de type ChatGPT peut planifier des itinéraires de déplacement en fonction des préférences et des contraintes de l'utilisateur.
Administration et pilotage,Assistant de direction,Faire des réservations d'hôtel,faible,Un chatbot IA de type ChatGPT peut réserver des chambres d'hôtel en ligne en traitant les demandes de réservation et en fournissant des options de paiement.
Administration et pilotage,Assistant de direction,Préparer des présentations,moyen,Un chatbot IA de type ChatGPT peut générer des contenus de présentation.
Administration et pilotage,Chargé de mission,Rédiger un compte-rendu de réunion,fort,Un chatbot IA de type ChatGPT peut rédiger un compte-rendu de réunion.
Administration et pilotage,Chef de service,Planifier les réunions de service,faible,Un chatbot IA de type ChatGPT peut structurer les agendas et les disponibilités des membres du service pour planifier les réunions de service.
Administration et pilotage,Chef de service,Mettre à jour les procédures internes dans le manuel de l'université,faible,Rédiger les mises à jour des procédures internes pour le manuel de l'université.
Administration et pilotage,Chef de service,Superviser la saisie des dossiers de personnel,moyen,Un chatbot IA de type ChatGPT peut structurer les informations personnelles pour la saisie des dossiers de personnel.
Administration et pilotage,Chef de service,Réaliser les rapports mensuels de fréquentation,moyen,Rédiger les rapports mensuels de fréquentation en analysant et en synthétisant les données de présence.
Administration et pilotage,Directeur administratif,Élaborer des budgets,moyen,Un chatbot IA de type ChatGPT peut générer des modèles de budgets pour faciliter l'élaboration de plans financiers détaillés.
Administration et pilotage,Directeur administratif,Analyser des données financières,moyen,Un chatbot IA de type ChatGPT peut analyser des données financières en les résumant.
Administration et pilotage,Directeur administratif,Préparer des rapports de gestion,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.
Administration et pilotage,Directeur administratif,Négocier des contrats,faible,Un chatbot IA de type ChatGPT peut rédiger les premières versions de contrats en fonction de modèles et de clauses standardisées.
Administration et pilotage,Directeur administratif,Superviser des équipes administratives,faible,Un chatbot IA de type ChatGPT peut automatiser la rédaction de rapports administratifs pour les équipes.
Administration et pilotage,Directeur des études,Élaborer le calendrier académique annuel,moyen,Un chatbot IA de type ChatGPT peut générer les dates clés et les périodes de vacances pour élaborer le calendrier académique annuel.
Administration et pilotage,Directeur des études,Analyser les résultats des examens pour ajuster les programmes,fort,Un chatbot IA de type ChatGPT peut analyser les résultats des examens pour identifier les domaines où les étudiants ont des difficultés et rédiger des recommandations pour ajuster les programmes d'études en conséquence.
Administration et pilotage,Directeur des études,Organiser les réunions de coordination avec les départements,faible,Un chatbot IA de type ChatGPT peut structurer les agendas et les ordres du jour pour les réunions de coordination avec les départements.
Administration et pilotage,Responsable administratif,Gérer les demandes de congés des personnels,faible,Un chatbot IA de type ChatGPT peut automatiser la rédaction des réponses aux demandes de congés des personnels.
Administration et pilotage,Secrétaire général,Rédiger des procès-verbaux,faible,Un chatbot IA de type ChatGPT peut rédiger des procès-verbaux.
Administration et pilotage,Secrétaire général,Gérer le calendrier des réunions,faible,Un chatbot IA de type ChatGPT peut planifier les réunions en fonction des disponibilités des participants et des salles de réunion.
Administration et pilotage,Secrétaire général,Préparer des dossiers de réunion,faible,Rédiger les comptes rendus de réunion et les notes de décision à partir de données et de points de discussion fournis.
Administration et pilotage,Secrétaire général,Envoyer des rappels de réunion,faible,Un chatbot IA de type ChatGPT peut envoyer des rappels de réunion personnalisés aux participants.
Administration et pilotage,Secrétaire général,Classer des documents administratifs,faible,Un chatbot IA de type ChatGPT peut classer des documents administratifs en les catégorisant.
Communication,Attaché de presse,Rédiger des articles de presse,fort,Un chatbot IA de type ChatGPT peut rédiger des articles de presse.
Communication,Attaché de presse,Organiser des interviews,faible,Un chatbot IA de type ChatGPT peut structurer les questions pour les interviews.
Communication,Attaché de presse,Gérer les relations avec les médias,faible,Rédiger des communiqués de presse personnalisés pour répondre aux demandes des médias.
Communication,Attaché de presse,Créer des dossiers de presse,moyen,Un chatbot IA de type ChatGPT peut rédiger des contenus de base pour les dossiers de presse.
Communication,Attaché de presse,Envoyer des communiqués de presse,faible,Rédiger des communiqués de presse personnalisés et ciblés en fonction des besoins spécifiques de l'université.
Communication,Chargé de communication,Rédiger un communiqué de presse,Moyen,Rédiger un brouillon de communiqué de presse en générant automatiquement du contenu basé sur des informations fournies.
Communication,Chargé de communication,Rédiger les communiqués de presse hebdomadaires,fort,Un chatbot IA de type ChatGPT peut rédiger les communiqués de presse hebdomadaires.
Communication,Chargé de communication,Concevoir les visuels pour les réseaux sociaux,moyen,Générer des idées de contenu et des légendes pour les visuels des réseaux sociaux.
Communication,Chargé de communication,Organiser les événements promotionnels sur campus,faible,Un chatbot IA de type ChatGPT peut générer des invitations personnalisées et des programmes détaillés pour les événements promotionnels sur campus.
Communication,Graphiste,Concevoir une affiche pour un événement,moyen,Un chatbot IA de type ChatGPT peut générer des textes de présentation pour l'affiche de l'événement.
Communication,Responsable de communication,Rédiger des communiqués de presse,fort,Un chatbot IA de type ChatGPT peut rédiger des communiqués de presse.
Communication,Responsable de communication,Gérer les réseaux sociaux,fort,Un chatbot IA de type ChatGPT peut rédiger des publications pour les réseaux sociaux.
Communication,Responsable de communication,Créer des contenus de blog,fort,Un chatbot IA de type ChatGPT peut rédiger des contenus de blog.
Communication,Responsable de communication,Organiser des événements de presse,faible,Rédiger des invitations personnalisées et des communiqués de presse pour les événements.
Communication,Responsable de communication,Analyser des données de trafic web,moyen,Un chatbot IA de type ChatGPT peut analyser des données de trafic web pour résumer les tendances et les statistiques clés.
Communication,Responsable de réseaux sociaux,Créer un post pour les réseaux sociaux,fort,Rédiger un post pour les réseaux sociaux.
Communication,Responsable relations presse,Négocier les accords de diffusion avec les médias,fort,Rédiger les premières versions des accords de diffusion avec les médias en utilisant des modèles de contrats préétablis et en personnalisant les clauses en fonction des exigences spécifiques de chaque média.
Communication,Responsable relations presse,Préparer les dossiers de presse pour les conférences,moyen,Un chatbot IA de type ChatGPT peut rédiger les communiqués de presse et les descriptions de conférence pour les dossiers de presse.
Communication,Responsable relations presse,Suivre les mentions de l'université dans les médias,faible,Un chatbot IA de type ChatGPT peut analyser et résumer les articles de presse en ligne pour détecter les mentions de l'université.
Communication,Webmaster,Mettre à jour des sites web,moyen,Un chatbot IA de type ChatGPT peut rédiger du contenu pour mettre à jour des sites web.
Communication,Webmaster,Créer des contenus web,fort,"Rédiger des contenus web tels que des articles, des descriptions de produits ou des publications sur les réseaux sociaux."
Communication,Webmaster,Gérer des bases de données web,moyen,Un chatbot IA de type ChatGPT peut structurer des données pour alimenter et mettre à jour les bases de données web.
Communication,Webmaster,Optimiser des sites web pour les moteurs de recherche,moyen,Un chatbot IA de type ChatGPT peut générer des métadonnées et des contenus de qualité pour optimiser les sites web pour les moteurs de recherche.
Communication,Webmaster,Superviser des équipes de développement web,faible,Rédiger des rapports de suivi et d'avancement pour les équipes de développement web.
Enseignement,Assistant pédagogique,Préparer des supports de cours,Faible,Rédiger des contenus pédagogiques pour les supports de cours.
Enseignement,Enseignant-chercheur,Préparer des cours,fort,Un chatbot IA de type ChatGPT peut rédiger des plans de cours et des notes de lecture pour préparer des cours.
Enseignement,Enseignant-chercheur,Donner des cours,faible,Rédiger des plans de cours et des supports de formation personnalisés pour les étudiants.
Enseignement,Enseignant-chercheur,Mener des recherches,fort,Un chatbot IA de type ChatGPT peut résumer des articles de recherche pour cette tâche.
Enseignement,Enseignant-chercheur,Rédiger des articles de recherche,fort,Rédiger des brouillons d'articles de recherche en générant du contenu basé sur des données et des informations fournies.
Enseignement,Enseignant-chercheur,Participer à des conférences internationales,faible,Rédiger des résumés de conférences ou des articles de recherche pour préparer les interventions orales lors de conférences internationales.
Enseignement,Maître de conférences,Rédiger les propositions de projets de recherche,fort,Rédiger les propositions de projets de recherche.
Enseignement,Maître de conférences,Animer les séminaires de recherche,faible,Rédiger des résumés de recherche pour préparer les séminaires.
Enseignement,Maître de conférences,Évaluer les travaux pratiques des étudiants,moyen,Un chatbot IA de type ChatGPT peut corriger les travaux pratiques des étudiants.
Enseignement,Maître de conférences,Préparer des séminaires,fort,Rédiger des contenus de présentation pour les séminaires.
Enseignement,Maître de conférences,Donner des séminaires,faible,Rédiger des contenus de présentation pour les séminaires.
Enseignement,Maître de conférences,Encadrer des travaux de recherche,faible,Rédiger des réponses personnalisées pour guider les étudiants dans leurs travaux de recherche.
Enseignement,Maître de conférences,Participer à des comités de recherche,faible,Rédiger des rapports de recherche pour les comités de recherche en utilisant les capacités de traitement du langage naturel du chatbot IA.
Enseignement,Maître de conférences,Rédiger des articles de recherche,fort,Rédiger des brouillons d'articles de recherche en générant du contenu basé sur des données et des informations fournies.
Enseignement,Professeur,Corriger des copies d'examen,moyen,Un chatbot IA de type ChatGPT peut corriger des copies d'examen.
Enseignement,Professeur,"Concevoir les supports de cours (diapositives, fiches)",fort,Rédiger les contenus des diapositives et des fiches de cours en fonction des objectifs pédagogiques définis.
Enseignement,Professeur,Corriger les copies d'examen,fort,Un chatbot IA de type ChatGPT peut corriger les copies d'examen.
Enseignement,Professeur,Animer les séances de travaux dirigés,faible,Rédiger des réponses personnalisées aux questions des étudiants pendant les séances de travaux dirigés.
Enseignement,Professeur,Préparer des cours,fort,Un chatbot IA de type ChatGPT peut rédiger des plans de cours et des contenus pédagogiques pour préparer des cours.
Enseignement,Professeur,Donner des cours,faible,Un chatbot IA de type ChatGPT peut rédiger des plans de cours et des supports de cours pour les enseignants.
Enseignement,Professeur,Corriger des examens,moyen,Un chatbot IA de type ChatGPT peut corriger automatiquement les réponses écrites des étudiants en fonction de critères prédéfinis.
Enseignement,Professeur,Encadrer des étudiants,faible,Rédiger des réponses personnalisées aux questions fréquentes des étudiants pour les encadrer de manière efficace.
Enseignement,Professeur,Participer à des jurys d'examen,faible,Un chatbot IA de type ChatGPT peut structurer des questions d'examen et des critères d'évaluation pour les jurys d'examen.
Enseignement,Responsable de formation,Évaluer les besoins de formation des étudiants,Faible,Analyser les données des étudiants pour identifier les lacunes de connaissances et générer des recommandations de formation personnalisées.
Finances et Comptabilité,Comptable,Saisir les factures dans le logiciel comptable,Fort,Un chatbot IA de type ChatGPT peut **extraire** les informations des factures pour les saisir automatiquement dans le logiciel comptable.
Finances et Comptabilité,Comptable,Gérer des comptes,moyen,Un chatbot IA de type ChatGPT peut générer des rapports de synthèse pour la gestion des comptes.
Finances et Comptabilité,Comptable,Préparer des déclarations fiscales,moyen,Un chatbot IA de type ChatGPT peut rédiger les déclarations fiscales en fonction des informations fournies par l'utilisateur.
Finances et Comptabilité,Comptable,Analyser des données comptables,moyen,Un chatbot IA de type ChatGPT peut analyser et résumer les données comptables.
Finances et Comptabilité,Comptable,Faire des prévisions financières,moyen,Un chatbot IA de type ChatGPT peut analyser des données financières pour rédiger des prévisions de revenus et de dépenses.
Finances et Comptabilité,Comptable,Classer des documents comptables,faible,Un chatbot IA de type ChatGPT peut classifier les documents comptables.
Finances et Comptabilité,Comptable universitaire,Saisir les factures fournisseurs,faible,Un chatbot IA de type ChatGPT peut **saisir** automatiquement les informations contenues dans les factures fournisseurs.
Finances et Comptabilité,Comptable universitaire,Réconcilier les relevés bancaires,moyen,Un chatbot IA de type ChatGPT peut automatiquement **structurer** les données financières pour réconcilier les relevés bancaires.
Finances et Comptabilité,Comptable universitaire,Générer les bilans financiers trimestriels,fort,Un chatbot IA de type ChatGPT peut générer automatiquement les rapports financiers trimestriels en rédigeant les bilans à partir de données comptables fournies.
Finances et Comptabilité,Contrôleur de gestion,Analyser les données financières,moyen,Un chatbot IA de type ChatGPT peut analyser et résumer les données financières.
Finances et Comptabilité,Directeur financier,Élaborer des budgets,moyen,Un chatbot IA de type ChatGPT peut générer des projections de dépenses et des prévisions de revenus pour élaborer des budgets.
Finances et Comptabilité,Directeur financier,Analyser des données financières,moyen,Un chatbot IA de type ChatGPT peut analyser et résumer des données financières.
Finances et Comptabilité,Directeur financier,Préparer des rapports de gestion,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.
Finances et Comptabilité,Directeur financier,Négocier des contrats,faible,Rédiger des modèles de contrats personnalisés en fonction des exigences spécifiques des parties impliquées.
Finances et Comptabilité,Directeur financier,Superviser des équipes financières,faible,Un chatbot IA de type ChatGPT peut analyser les données financières pour résumer les rapports de dépenses et de revenus.
